"index","stuff_name","brand"
1196,"[' 펩타이드8 파워드 앰플', ' 워터 밤 모이스처 아이 패치', ' 로즈 세라마이드8 아이 패치', ' 워터 리치 모이스처 크림', ' 워터 리치 퓨어 세럼', ' 워터 밤 모이스처 슬리핑 팩', ' 워터 밤 모이스처 아이 크림', ' 마누카 허니 딥 케어 마스크', ' 마누카 허니 딥 케어 크림', ' 마누카 허니 딥 케어 앰플', ' 히알루론7 파워드 앰플', '[단종]\xa0 워터 밤 모이스처 크림']","['오지아이 (Ogi)', '오지아이 (Ogi)', '오지아이 (Ogi)', '오지아이 (Ogi)', '오지아이 (Ogi)', '오지아이 (Ogi)', '오지아이 (Ogi)', '오지아이 (Ogi)', '오지아이 (Ogi)', '오지아이 (Ogi)', '오지아이 (Ogi)', '오지아이 (Ogi)']"
1197,"[]","[]"
1198,"[' 락토벨라S 미니', ' 올가벨라 밀크핏 스킨 마스크', ' 락토벨라W', ' 락토벨라S', ' 락토벨라Y']","['벨라랩 (BELLA LAB)', '벨라랩 (BELLA LAB)', '벨라랩 (BELLA LAB)', '벨라랩 (BELLA LAB)', '벨라랩 (BELLA LAB)']"
1199,"[' 약산성 히알루론 젤 클렌저', ' 릴리프 캐모마일 크림', ' 내추럴 리페어 세럼', ' 올인원 에센스', ' 올인원 크림', ' 프레쉬 톤업 선크림 [SPF50+/PA++++]', ' 올인원 수소 비누', ' 올인원 케어 클렌징 폼', ' 올인원 케어 클렌징 워터', ' 릴리프 블루 플라워 마스크', ' 원스텝 페이셜 에센스 밸런스', ' 올인원 미스트', ' 액티브 레드 플라워 마스크', ' 원스텝 페이셜 에센스 프레쉬', ' 릴리프 캐모마일 트리트먼트 밤', ' 핫 바디 워밍업 크림', ' 릴리프 캐모마일 젤 토너', ' 릴리프 캐모마일 미스트', ' 비건 선크림 [SPF50+/PA++++]', ' 리얼 선크림 [SPF50+/PA++++]', '[단종]\xa0 릴리프 선 모이스처라이저 [SPF50+/PA++++]', '[단종]\xa0 올인원 링클케어 마스크', '[단종]\xa0 올인원 모공탄력 마스크', '[단종]\xa0 올인원 화이트닝 마스크']","['휘게 (HYGGEE)', '휘게 (HYGGEE)', '휘게 (HYGGEE)', '휘게 (HYGGEE)', '휘게 (HYGGEE)', '휘게 (HYGGEE)', '휘게 (HYGGEE)', '휘게 (HYGGEE)', '휘게 (HYGGEE)', '휘게 (HYGGEE)', '휘게 (HYGGEE)', '휘게 (HYGGEE)', '휘게 (HYGGEE)', '휘게 (HYGGEE)', '휘게 (HYGGEE)', '휘게 (HYGGEE)', '휘게 (HYGGEE)', '휘게 (HYGGEE)', '휘게 (HYGGEE)', '휘게 (HYGGEE)', '휘게 (HYGGEE)', '휘게 (HYGGEE)', '휘게 (HYGGEE)', '휘게 (HYGGEE)']"
1200,"[' 힐링 티 가든 클렌징 코튼 패드', ' 울트라 모이스쳐라이징 코코아버터 립밤', ' 징코 내츄럴 클렌징 폼', ' 에센셜 클렌징 코튼 패드', ' 징코 내츄럴 클린싱 크림', ' 징코 내츄럴 올인원 클렌징 티슈', ' 징코 내츄럴 클렌징워터', ' 라인에이징 코렉터', ' 징코빌로바11', ' 징코 모이스처 클렌징 티슈', ' 징코 내츄럴 원-스텝 클렌징워터', ' 어반 에이징 코렉터', ' 클렌징 코팩', ' 몬스터 클렌징 코튼', ' 인텐스 모이스처라이징 코코넛 바디버터', ' 징코 클렌징 티슈', ' 건조한 두피용 징코 샴푸', '[단종]\xa0 징코 내츄럴 클렌징 티슈', '[단종]\xa0 징코 내츄럴 클렌징 티슈', '[단종]\xa0 징코 워시프리 클렌징 워터', '[단종]\xa0 퍼펙트 메이크업 클렌징 코튼', '[단종]\xa0 샤워클렌저 징코', '[단종]\xa0 징코 내츄럴 크림', '[단종]\xa0 징코 내츄럴 스킨 토너']","['더샘 (the SAEM)', '히말라야 (Himalaya)', '참존 (CHARMZONE)', '정샘물 (JUNGSAEMMOOL)', '참존 (CHARMZONE)', '참존 (CHARMZONE)', '참존 (CHARMZONE)', '아모레퍼시픽 (AMORE PACIFIC)', 'GNM (지엔엠)', '프럼네이처 (FROMNATURE)', '참존 (CHARMZONE)', '아이오페 (IOPE)', '야다 (YADAH)', '에뛰드 (ETUDE)', '델론 (DELON)', '스캔들 (Scandal Cosmetics)', '로고나 (LOGONA)', '참존 (CHARMZONE)', '참존 (CHARMZONE)', '네이처리퍼블릭 (NATURE REPUBLIC)', '라네즈 (LANEIGE)', '이영애 (LEE YOUNG AE)', '참존 (CHARMZONE)', '참존 (CHARMZONE)']"
1201,"[' 퍼펙트 브이 리프팅 프리미엄 마스크', '[단종]\xa0 퀵 클렌징 드라이 티슈']","['에이바자르 (avajar)', '에이바자르 (avajar)']"
1202,"[' 페이크업 컬러 립밤', ' 타우린 올인원 워시', ' 히든댓 커버 선크림 [SPF50+/PA++++]', ' 히든댓 톤업 선크림 [SPF50+/PA++++]', ' 포엑스라지 워터 스킨', ' 포엑스라지 워터 크림', ' 매트 헤어왁스', ' 리얼 올인원 데이 & 나잇', ' 히든댓 컨실러', ' 리얼딥 필링 젤', ' 리얼딥 클렌징 젤', ' 리얼딥 클렌징 폼', ' 포엑스라지 마스크팩', ' 스니키 유캔 아이브로우 키트']","['스니키 (SNEAKY)', '스니키 (SNEAKY)', '스니키 (SNEAKY)', '스니키 (SNEAKY)', '스니키 (SNEAKY)', '스니키 (SNEAKY)', '스니키 (SNEAKY)', '스니키 (SNEAKY)', '스니키 (SNEAKY)', '스니키 (SNEAKY)', '스니키 (SNEAKY)', '스니키 (SNEAKY)', '스니키 (SNEAKY)', '스니키 (SNEAKY)']"
1203,"[]","[]"
1204,"[' 더블 듀티 미스트', ' 스킨 메디테이션 젤 크림', ' 원퍼펙트 영양크림', ' 유어 온리 클렌저', '[단종]\xa0 리지스트 레티놀 스킨-스무딩 바디 트리트먼트', '[단종]\xa0 인베드 클렌징 와입']","['놀스 (Knours)', '놀스 (Knours)', '놀스 (Knours)', '놀스 (Knours)', ""폴라초이스 (PAULA'S CHOICE)"", '놀스 (Knours)']"
1205,"[' 퍼펙트 UV 밀크 [SPF50+/PA++++]', ' 퍼펙트 UV 젤 [SPF50+/PA++++]', ' 퍼펙트 버블 포 바디 (플로럴 플러스 N)', ' 올 클리어 워터 미셀라 포뮬러 프레시', ' 퍼펙트휩 아크네케어', ' 퍼펙트 휩 페이셜 워시', ' 스피디 퍼펙트 휩', ' 올 클리어 오일', ' 퍼펙트 휩 화이트 클레이', ' 퍼펙트 휩 프레시', ' 악센 리커버리 (악센카솔)', ' 퍼펙트 UV 에센스 [SPF50+/PA++++]', ' 올 클리어 시트', ' 퍼펙트 버블 포 바디 (스위트 플로럴 N)', ' 센카 올 클리어 더블더블유 폼', ' 퍼펙트 휩 포 바디', ' 올 클리어 더블 더블유', ' 올 클리어 아이 앤 립', ' 퍼펙트 휩 콜라겐 인', '[단종]\xa0 퍼펙트 워터리 오일', '[단종]\xa0 퍼펙트 휩 콜라겐 인', '[단종]\xa0 퍼펙트 휩 N', '[단종]\xa0 퍼펙트 휩 페이셜 워시', '[단종]\xa0 미네랄 퍼펙트 UV [SPF50+/PA+++]', '[단종]\xa0 퍼펙트 화이트 클레이', '[단종]\xa0 퍼펙트 휩 프레시', '[단종]\xa0 미네랄 에센스 UV [SPF50+/PA+++]', '[단종]\xa0 퍼펙트 리퀴드', '[단종]\xa0 모이스처라이징 에멀젼', '[단종]\xa0 스피디 퍼펙트 휩 모이스트 터치', '[단종]\xa0 퍼펙트 더블 워시', '[단종]\xa0 퍼펙트 오일 휩', '[단종]\xa0 화이트닝 로션R (중건성)', '[단종]\xa0 퍼펙트 워터리 오일', '[단종]\xa0 립 에센스 ', '[단종]\xa0 모이스처라이징 로션(중건성)', '[단종]\xa0 퍼펙트 밀크', '[단종]\xa0 바디 오일 에센스', '[단종]\xa0 올 클리어 오일 휩', '[단종]\xa0 모이스처라이징 로션 (중지성)', '[단종]\xa0 퍼펙트 워터 클렌징', '[단종]\xa0 퍼펙트 에센스 실키 모이스처', '[단종]\xa0 퍼펙트 에멀전 실키 모이스처', '[단종]\xa0 립 크림', '[단종]\xa0 화이트닝 로션S', '[단종]\xa0 화이트닝 에멀젼', '[단종]\xa0 스피디 퍼펙트 휩', '[단종]\xa0 퍼펙트 젤', '[단종]\xa0 퍼펙트 실키 마스크']","['센카 (SENKA)', '센카 (SENKA)', '센카 (SENKA)', '센카 (SENKA)', '센카 (SENKA)', '센카 (SENKA)', '센카 (SENKA)', '센카 (SENKA)', '센카 (SENKA)', '센카 (SENKA)', '트로이아르케 (TROIAREUKE)', '센카 (SENKA)', '센카 (SENKA)', '센카 (SENKA)', '센카 (SENKA)', '센카 (SENKA)', '센카 (SENKA)', '센카 (SENKA)', '센카 (SENKA)', '센카 (SENKA)', '센카 (SENKA)', '센카 (SENKA)', '센카 (SENKA)', '센카 (SENKA)', '센카 (SENKA)', '센카 (SENKA)', '센카 (SENKA)', '센카 (SENKA)', '센카 (SENKA)', '센카 (SENKA)', '센카 (SENKA)', '센카 (SENKA)', '센카 (SENKA)', '센카 (SENKA)', '센카 (SENKA)', '센카 (SENKA)', '센카 (SENKA)', '센카 (SENKA)', '센카 (SENKA)', '센카 (SENKA)', '센카 (SENKA)', '센카 (SENKA)', '센카 (SENKA)', '센카 (SENKA)', '센카 (SENKA)', '센카 (SENKA)', '센카 (SENKA)', '센카 (SENKA)', '센카 (SENKA)']"
