df_ind,title,brand,glowpick_exist
0,아던샵 셀프 속눈썹펌 키트 파마 세트,아던샵,O
1,LG 프라엘 메디헤어 안드로겐성탈모 치료기 HGN2V 1개,프라엘,O
2,"[50만회 자동조사] IPL 레이저 제모의료기기 오토샷 50만회, JOC-9000",라피타,O
3,헤라 NEW블랙쿠션SPF34/PA++15gx2(본품1개+리필1개)+[N페이 3천점],헤라,O
4,아이오페 스템Ⅲ 앰플 50ml,아이오페,O
5,NEW 파워업출시 와이츄 셀프 속눈썹펌 키트 11종 풀세트 (10회분),와이츄,O
6,[이오시카] IPL 레이저 제모 의료기기 200K SIPL-1000  / 20만회 조사 1개,이오시카,O
7,설화수 자음 2종세트(자음수/자음유액125ml) [N페이1만점],설화수,O
8,유라이크 사파이어쿨링 IPL 레이저제모 의료기기 UI04M 반영구 제시 딥그린,유라이크(자체제작),X
9,[잇템샵]300종 셀프 패디큐어 스티커 젤네일패치,잇템샵(자체제작),X
10,얼라이브랩 센텔라 드레싱 파우더 / 시카 파우더 8ml,얼라이브랩,O
11,센카 퍼펙트휩 폼클렌징 120g x 3개,센카,O
12,"[클렌징 패드 1매 증정] 라운드랩 자작나무 수분 선크림 50ml (SPF 50+,PA++++)",라운드랩,O
13,프리메라 알파인 베리 워터리 크림 50ml,프리메라,O
14,★애교살 컬러 입고 완료★ 삐아 라스트 오토 젤 아이라이너 0.3g,삐아,O
15,시드물 녹차 필링젤/코엔자임 Q10 필링젤,시드물,O
16,[채소 SET] 믹순 콩에센스 50ml + 믹순 병풀 에센스 100ml,믹순,O
17,베리홉 에잇 데이즈 퓨어 비타민 씨 앰플 플러스 15g,베리홉,O
18,더하르나이 유브이아웃 선블록 70ml (SPF50+ PA+++),더하르나이,O
19,[No.1에센스] 설화수 윤조에센스 90ml 멀티장벽케어 [N페이 1만점],설화수,O
20,박준뷰티랩 대용량 LPP 단백질 트리트먼트 헤어 팩 1000ml,박준뷰티랩,O
21,아이유 속눈썹 / 자연스러운 인조속눈썹 언더속눈썹 브라운속눈썹,아이유,O
22,라네즈 네오 쿠션_매트 SPF42 PA++  15g,라네즈,O
23,[1+1] 이글립스 팩트4종(블러/오일컷/오일광/바비) (8color/9g),이글립스,O
24,[26만개 돌파] 타투 헤어틴트 1개/ NO 염색약 5초 새치커버 틴트 스틱,라피타,O
25,[더젤] 프리미엄 젤네일 컬러젤 255종 (선택 1),더젤,O
26,[이오시카] IPL 레이저 제모 의료기기 500K SIPL-1000B / 50만회 조사 1개,이오시카,O
27,아던샵 셀프 속눈썹펌 (3회분) 키트,아던샵,O
28,티트리 100 오일 10ml/20ml [비건 페이스오일 / 강력한 한방으로 스팟케어],에센허브,O
29,[네이버 쇼핑판 특가] 삐아 라스트 오토 젤 아이라이너 슬림,삐아,O
30,헤라 센슈얼 파우더 매트 5g,헤라,O
31,디오메르 데일리 톤업 선크림 70ml (SPF50 PA+++),디오메르,O
32,아이랩 멜라키 화이트닝 크림 50ml,아이랩 코스메틱,O
33,[피치베리] 베리섀도우 The 2nd Lineup,피치베리,O
34,미쟝센 퍼펙트세럼 트리트먼트 180ML [ 극손상모 ㅣ 아르간오일 ㅣ 머릿결 좋아지는법 ㅣ 홈케어 ],미쟝센,O
35,더하르나이 시카이드 크림 100ml,더하르나이,O
36,스텔비 파이널 마스크팩(콜라겐/히알루론산)/보습 끝장팩/가성비갑,스텔비,O
37,마티나겝하르트 아보카도 아이크림 15ml,마티나겝하르트,O
38,더랩바이블랑두 올리고 히알루론산 헬씨 크림 쿠션 (2color/12g/SPF50+PA++++),더랩 바이 블랑두,O
39,화해 페이스오일 1위 데저트에센스 100% 오가닉 호호바오일,데저트에센스,O
40,애플린 백설기 크림,애플린,O
41,디오메르 페이셜 퓨리파잉 워시오프 마스크 100ml,디오메르,O
42,닥터방기원 랩 탈모증상완화 샴푸 1000ml / 탈모증상완화기능성 / 미세먼지세정 / 자연유래성분,닥터방기원,O
43,더하르나이 시카이드 앰플세럼 50ml,더하르나이,O
44,약산성 굿모닝 젤 클렌저_민감성 폼클렌징 150ml,코스알엑스,O
45,부르조아 벨벳 펜슬 3g,부르조아,O
46,삐아 라스트 펜 아이라이너 0.6g,삐아,O
47,롬앤 제로 매트 립스틱 20color,롬앤,O
48,시드물 알로에 에센셜 지성용/중건성용,시드물,O
49,몸드름+등드름 바디워시/에센허브 티트리 아크네 데일리워시 500ml(비건인증 바디워시/여드름피부 사용 적합),에센허브,O
50,미쟝센 퍼펙트 세럼 오리지널 80ml [ 화해 1위 헤어에센스 ㅣ 모로코아르간오일 ㅣ 헤어오일 ],미쟝센,O
51,스킨앤랩 베리어덤 인텐시브 크림 50ml + 미니어쳐 2종,스킨앤랩,O
52,샤카트 초간단 필링젤 310ml 때필링 10종 1등 몸 발 팔꿈치 각질제거 바디 무자극 수딩젤 홈쇼핑,샤카트,O
53,[네이처리퍼블릭] 캘리포니아 알로에 아이스 퍼프선 SPF50+ PA++++ 100ml,네이처리퍼블릭,O
54,라우쉬 씨위드 디그리징 샴푸 200ml (미역샴푸/ 라우쉬 공식정품),라우쉬,O
55,아이빛 말랑팁 말랑이팁 말캉팁 인조손톱 쫀득이 네일양면테이프 24P 1세트,아이빛,O
56,[1+1] 독일 바버 앰플 베스트 4종 (2mlx7병) 비타민 수분 트러블 콜라겐,바버,O
57,문샷 마이크로 카밍핏 쿠션 SPF 50+PA++++ 본품 15g + 리필 15g,문샷,O
58,[1+1] 마녀공장 퓨어 클렌징 오일 200ml /올리브영&네이버쇼핑 1위/ 블랙헤드 케어,마녀공장,O
59,[NEW] 미쟝센 퍼펙트 세럼 오리지널 80ml 1+1 외 모음 (옵션) [ 화해 1위 헤어에센스 ㅣ 모로코아르간오일 ㅣ 헤어오일 ],미쟝센,O
60,아크네스 더마릴리프 모이스처 폼클렌져 125ml (체험분 10매 랜덤 증정) ,아크네스,O
