,0
0,10
1,13
2,14
3,23
4,24
5,29
6,32
7,36
8,37
9,55
10,58
11,61
12,62
13,67
14,81
15,103
16,104
17,105
18,107
19,111
20,117
21,120
22,121
23,122
24,130
25,131
26,155
27,168
28,172
29,175
30,179
31,184
32,192
33,199
34,205
35,223
36,224
37,233
38,251
39,253
40,273
41,274
42,278
43,282
44,288
45,309
46,317
47,332
48,335
49,355
50,369
51,376
52,391
53,394
54,398
55,413
56,431
57,447
58,450
59,459
60,499
61,513
62,526
63,530
64,538
65,539
66,541
67,543
68,564
69,565
70,585
71,591
72,599
73,601
74,609
75,622
76,626
77,630
78,650
79,661
80,666
81,683
82,693
83,703
84,711
85,716
86,719
87,723
88,728
89,734
90,738
91,747
92,761
93,766
94,772
95,794
96,824
97,831
98,850
99,852
100,854
101,860
102,862
103,874
104,875
105,876
106,879
107,880
108,908
109,916
110,922
111,927
112,940
113,944
114,945
115,953
116,956
117,960
118,962
119,970
120,992
121,1007
122,1018
123,1029
124,1047
125,1048
126,1052
127,1055
128,1059
129,1060
130,1061
131,1066
132,1080
133,1096
134,1097
135,1101
136,1105
137,1113
138,1118
139,1119
140,1140
141,1158
142,1166
143,1189
144,1215
145,1217
146,1218
147,1234
148,1239
149,1254
150,1256
151,1258
152,1260
153,1272
154,1276
155,1281
156,1289
157,1291
158,1292
159,1311
160,1317
161,1322
162,1328
163,1331
164,1371
165,1382
166,1424
167,1430
168,1434
169,1447
170,1461
171,1463
172,1467
173,1472
174,1475
175,1476
176,1480
177,1491
178,1525
179,1554
180,1561
181,1567
182,1568
183,1579
184,1582
185,1583
186,1605
187,1614
188,1620
189,1628
190,1631
191,1632
192,1633
193,1650
194,1656
195,1658
196,1659
197,1661
198,1662
199,1673
200,1682
201,1686
