index,stuff_name,brand
1283,"[' 트리플 머쉬룸 세라마이드 에센스', ' 비타민 17 핑크 버블 스킨 부스터', ' 안티에이징 모이스처 스틱', ' 프로바이로 리치 포뮬라 멜팅 크림']","['런슬로우 (RUNSLOW)', '런슬로우 (RUNSLOW)', '런슬로우 (RUNSLOW)', '런슬로우 (RUNSLOW)']"
1284,[' 천연샴푸 1000ml 지성두피용'],['젠틀파파 (GENTLE PAPA)']
1285,"[' 아이래쉬 속눈썹 & 눈썹 영양 트리트먼트리트먼트', ' 샴푸', ' 남성 데일리 영양팩', ' 여성 데일리 영양팩']","['폴텐 (Foltene)', '폴텐 (Foltene)', '폴텐 (Foltene)', '폴텐 (Foltene)']"
1286,"[' 화이트닝 스팟 트리트먼트 세럼', ' 아르간 오일 100%', ' 로즈 힙 오일 100%', ' 퍼퓸 솝 멜랑콜리 퍼플', ' 퍼퓸 솝 앵그리 캣', ' 멀티 클렌져 컬러빈 ', ' 바디클렌저 바닐라 스카이', ' 바쓰밤 하트 쉐이커', ' 립앤아이 메이크업 리무버', ' 아로마 마사지오일 위드 라벤더', ' 아로마 마사지오일 위드 페퍼민트', ' 아로마 마사지오일 위드 로즈', ' 아로마 마사지오일 위드 유칼립투스', ' 아로마 마사지오일 위드 레몬', ' 아로마 마사지오일 위드 오렌지', ' 멀티클렌저 허니빈', ' 멀티클렌저 컬러빈', ' 바디클렌저 섹시빈', ' 바디클렌저 볼륨빈', ' 멀티클렌저 베베빈', ' 바쓰 피즈 위드 페퍼민트', ' 바쓰 피즈 위드 일랑일랑', ' 바쓰 피즈 위드 로즈', ' 바쓰 피즈 위드 라임', ' 바쓰 피즈 위드 라벤더', ' 바쓰밤 앵그리 캣', ' 바쓰밤 스마일 치즈', ' 바쓰밤 바닐라 스카이', ' 바쓰밤 그리너리 허브', ' 바디클렌저 멜랑콜리 퍼플', ' 바디미스트 하트 쉐이커', ' 바디미스트 앵그리 캣', ' 바디미스트 스마일 치즈', ' 바디미스트 바닐라 스카이', ' 바디미스트 그리너리 허브', ' 인샤워 바디로션 하트 쉐이커', ' 인샤워 바디로션 앵그리 캣', ' 인샤워 바디로션 스마일 치즈', ' 인샤워 바디로션 바닐라 스카이', ' 인샤워 바디로션 그리너리 허브', ' 리얼푸드 카카오 마스크팩', ' 퍼퓸 솝 하트 쉐이커', ' 퍼퓸 솝 시트러스 치얼업', ' 퍼퓸 솝 스마일 치즈', ' 퍼퓸 솝 블랙 볼케이노', ' 퍼퓸 솝 바닐라 스카이', ' 퍼퓸 솝 그리너리 허브', ' 미세먼지 클렌징 더스트 리무버', ' 조조바 오일 100%']","['메르헨랩 (MARCHEN LAB)', '메르헨랩 (MARCHEN LAB)', '메르헨랩 (MARCHEN LAB)', '메르헨랩 (MARCHEN LAB)', '메르헨랩 (MARCHEN LAB)', '메르헨랩 (MARCHEN LAB)', '메르헨랩 (MARCHEN LAB)', '메르헨랩 (MARCHEN LAB)', '메르헨랩 (MARCHEN LAB)', '메르헨랩 (MARCHEN LAB)', '메르헨랩 (MARCHEN LAB)', '메르헨랩 (MARCHEN LAB)', '메르헨랩 (MARCHEN LAB)', '메르헨랩 (MARCHEN LAB)', '메르헨랩 (MARCHEN LAB)', '메르헨랩 (MARCHEN LAB)', '메르헨랩 (MARCHEN LAB)', '메르헨랩 (MARCHEN LAB)', '메르헨랩 (MARCHEN LAB)', '메르헨랩 (MARCHEN LAB)', '메르헨랩 (MARCHEN LAB)', '메르헨랩 (MARCHEN LAB)', '메르헨랩 (MARCHEN LAB)', '메르헨랩 (MARCHEN LAB)', '메르헨랩 (MARCHEN LAB)', '메르헨랩 (MARCHEN LAB)', '메르헨랩 (MARCHEN LAB)', '메르헨랩 (MARCHEN LAB)', '메르헨랩 (MARCHEN LAB)', '메르헨랩 (MARCHEN LAB)', '메르헨랩 (MARCHEN LAB)', '메르헨랩 (MARCHEN LAB)', '메르헨랩 (MARCHEN LAB)', '메르헨랩 (MARCHEN LAB)', '메르헨랩 (MARCHEN LAB)', '메르헨랩 (MARCHEN LAB)', '메르헨랩 (MARCHEN LAB)', '메르헨랩 (MARCHEN LAB)', '메르헨랩 (MARCHEN LAB)', '메르헨랩 (MARCHEN LAB)', '메르헨랩 (MARCHEN LAB)', '메르헨랩 (MARCHEN LAB)', '메르헨랩 (MARCHEN LAB)', '메르헨랩 (MARCHEN LAB)', '메르헨랩 (MARCHEN LAB)', '메르헨랩 (MARCHEN LAB)', '메르헨랩 (MARCHEN LAB)', '메르헨랩 (MARCHEN LAB)', '메르헨랩 (MARCHEN LAB)']"
1287,"[' 널리쉬 바디워시 [로즈힙&아몬드오일]', ' 널리쉬 바디워시 [자스민&바닐라&일랑일랑]']","['얼스와이즈 (earthwise)', '얼스와이즈 (earthwise)']"
1288,[],[]
1289,"[' 화이트 트러플 세럼 인 오일 드롭', ' 화이트 트러플 레이큐어 오일 스틱', ' 리얼 프레쉬 폼 그린티', ' 리얼 시카 미셀라 클렌징 폼', ' 바이오 필 젠틀 거즈필링 와인', ' 프로바이오틱스 더블 액션 세럼\t', ' 바이오 필 젠틀 거즈필링 레몬', ' 바이오 필 젠틀 거즈 필링 그린티', ' 캐네디언 클레이 포어 클렌저', ' 더블 비타 드롭 인 세럼', ' 화이트 트러플 레이큐어 오일 밤 팩트', ' 화이트 트러플 앰플 드롭 미스트', ' 에이치투 더마데카 세럼 스프레이', ' 히알글로우 로즈 에센스 크림 패드', ' 카밍 시카트리 패드', ' 볼륨컬 메탈 마스카라', ' 골드블랙 캐비어 에센스&골드 톡스타이트닝팩', ' 블랙 볼륨 크림', ' 안티에이져 페이셜 베이스 코트 ', ' 리얼 프레쉬 폼', ' 카멜 밀크 화이트 볼륨', ' 포어 타이트 필링 무스', ' 화이트 트러플 하이드라맥스 니트 마스크', ' 리얼 폴리쉬 허니 & 슈가 스크럽', ' 피딩 크림', ' 블레미쉬 수딩 오버나이트 마스크', ' 카멜 밀크 화이트 소스', ' 글레이셜 매직 포어 마스크', ' 더블 비타 글로우 랩 마스크', ' 핑크 캑터스 리프트맥스 니트 마스크', '  화이트 스파클링 크림', ' 포어 리파인 토너', ' 리얼 프레쉬 클렌징 스틱 그린티', ' 모이스쳐 액티브 오로라 듀얼 스틱', ' 챠콜 마스크 폼 ', ' 레몬 그린 캐비어 에센스', ' 블랙 캐비어 에센셜 마스크', ' 오투 에너지 파워 세럼 스프레이', ' 세범 클리어 포어 미스트', ' 엑스트라 퍼밍 페이스 세럼', ' 블레미쉬 수딩 바디 로션', ' 카멜 밀크 바디 모이스쳐라이져', ' 퍼펙트 커버 스틱 파운데이션 [SPF50+/PA+++]', ' 리얼 챠콜패드', ' 글레이셜 매직 포어 젤', ' 레몬 그린 캐비어 에센스&톡스 타이트닝 팩', ' 리프레쉬 라임 미스트', ' 포어 리파인 마스크', ' 골드 카카오 크림', ' 골든 실크 코쿤 크림', ' 오션 피딩 토너', ' 멀티 비타 페이스 오일', ' 캐롯 딥 클리어 리무버 오일 패드', ' 안티 링클 페이스 크림', ' 비타 라이트닝 네오 토너', ' 데이라이트 프로텍션 선 스크린 [SPF50/PA+++]', ' 블레미쉬 수딩&세범 컨트롤링 마스크', ' 올데이 락킹 픽서', ' 원미닛 링클 알엑스', ' 수퍼 씨드 오일 마스크', ' 콜라겐 리프팅 네오 토너', ' 오셔니즘 에센셜 피딩 마스크', ' 그린티 모이스트 파하 거즈 필링', ' UV 포텐 래디언스 커버 쿠션', ' 매직 플래시 크림 [SPF25/PA++]', ' 매직 플래시 크림 [SPF25/PA++]', ' 포어 클리어 아쿠아 젤', ' 카밍 시카트리 미셀라 클렌징 워터', ' 카밍 시카트리 미셀라 클렌징 오일', ' 프로바이오틱스 릴리프 크림', ' 오투 에너지 파워 세럼 스프레이', ' 에이치투 더마데카 세럼 스프레이', ' 수퍼 하이드라 하이드로겔 미스트', ' 듀얼 래디언스 퍼퓸 오일 미스트', ' 오투 에너지 파워 세럼 스프레이', ' 수퍼 씨드 멀티 플레이 너리싱 밤', ' 얼라이브 시그널 콜라겐 라이트 세럼', ' 속눈썹 뷰러', ' 에이지 디펜스 토너', ' 블레미쉬 수딩 에이 클리어 에센스 & 팩', ' 엑스다임 러프 풋 & 니 스크럽', ' 화이트닝 & 볼류밍 앰플', ' 플럼핑 & 볼류밍 앰플', ' 수퍼 모이스쳐 래디언스 인리치 오일', ' 울트라 너리싱 페이스 오일', ' 포어 리파인 원위크 프로그램 3스텝 키트', ' 화이트 클리어 원위크 3스텝 프로그램', ' 프리즘 프라이머', ' 엑스다임 레그 샤이닝 크림', '[단종]\xa0 바이오 젠틀 필링 거즈 키트', '[단종]\xa0 바이오 젠틀 레몬 필링 거즈 키트', '[단종]\xa0 듀얼 레이어 세라마이드 오일', '[단종]\xa0 틴티드 모이스쳐라이져 BC크림 [SPF50/PA+++]', '[단종]\xa0 블랙핏 아이라이너', '[단종]\xa0 퍼퓸드 터치 솝 바 [머스크 바닐라향]', '[단종]\xa0 바이오 그린 에코 폼 클렌징', '[단종]\xa0 롱래스팅 아이라이너 코팅 세럼', '[단종]\xa0 톡스 타이트닝 팩', '[단종]\xa0 블레미쉬 수딩 폼 클렌징', '[단종]\xa0 라이스 필 & 엑티베이터 탄산 사케', '[단종]\xa0 밀크 필 & 엑티베이터 탄산 발사믹 비니거', '[단종]\xa0 코코넛 밀크 퓨어 마일드 클렌저', '[단종]\xa0 멀티 플레이 BC 스틱 [SPF45/PA++]', '[단종]\xa0 UV 디펜스 롱래스팅 프로텍터 [SPF50+/PA+++] ', '[단종]\xa0 롱아이래쉬 볼륨 인헨싱 세럼', '[단종]\xa0 리얼 프레쉬 폼 [블루베리]', '[단종]\xa0 블랙핏 아이라이너', '[단종]\xa0 바이오 레드 허브 스파 폼 클렌징', '[단종]\xa0 페이스 오프 트리트먼트 리무버 패드', '[단종]\xa0 바이탈 콜라겐 링거 앰플']","['네오젠 더마로지 (NEOGEN DERMALOGY)', '네오젠 더마로지 (NEOGEN DERMALOGY)', '네오젠 더마로지 (NEOGEN DERMALOGY)', '네오젠 더마로지 (NEOGEN DERMALOGY)', '네오젠 더마로지 (NEOGEN DERMALOGY)', '네오젠 더마로지 (NEOGEN DERMALOGY)', '네오젠 더마로지 (NEOGEN DERMALOGY)', '네오젠 더마로지 (NEOGEN DERMALOGY)', '네오젠 더마로지 (NEOGEN DERMALOGY)', '네오젠 더마로지 (NEOGEN DERMALOGY)', '네오젠 더마로지 (NEOGEN DERMALOGY)', '네오젠 더마로지 (NEOGEN DERMALOGY)', '네오젠 더마로지 (NEOGEN DERMALOGY)', '네오젠 코드나인 (NEOGEN CODE9)', '네오젠 더마로지 (NEOGEN DERMALOGY)', '네오젠 코드나인 (NEOGEN CODE9)', '네오젠 코드나인 (NEOGEN CODE9)', '네오젠 코드나인 (NEOGEN CODE9)', '네오젠 에이지큐어 (NEOGEN Agecure)', '네오젠 더마로지 (NEOGEN DERMALOGY)', '네오젠 코드나인 (NEOGEN CODE9)', '네오젠 더마로지 (NEOGEN DERMALOGY)', '네오젠 더마로지 (NEOGEN DERMALOGY)', '네오젠 더마로지 (NEOGEN DERMALOGY)', '네오젠 더마로지 (NEOGEN DERMALOGY)', '네오젠 더마로지 (NEOGEN DERMALOGY)', '네오젠 코드나인 (NEOGEN CODE9)', '네오젠 코드나인 (NEOGEN CODE9)', '네오젠 더마로지 (NEOGEN DERMALOGY)', '네오젠 더마로지 (NEOGEN DERMALOGY)', '네오젠 코드나인 (NEOGEN CODE9)', '네오젠 더마로지 (NEOGEN DERMALOGY)', '네오젠 더마로지 (NEOGEN DERMALOGY)', '네오젠 더마로지 (NEOGEN DERMALOGY)', '네오젠 더마로지 (NEOGEN DERMALOGY)', '네오젠 코드나인 (NEOGEN CODE9)', '네오젠 더마로지 (NEOGEN DERMALOGY)', '네오젠 더마로지 (NEOGEN DERMALOGY)', '네오젠 코드나인 (NEOGEN CODE9)', '네오젠 에이지큐어 (NEOGEN Agecure)', '네오젠 더마로지 (NEOGEN DERMALOGY)', '네오젠 코드나인 (NEOGEN CODE9)', '네오젠 더마로지 (NEOGEN DERMALOGY)', '네오젠 더마로지 (NEOGEN DERMALOGY)', '네오젠 코드나인 (NEOGEN CODE9)', '네오젠 더마로지 (NEOGEN DERMALOGY)', '네오젠 더마로지 (NEOGEN DERMALOGY)', '네오젠 더마로지 (NEOGEN DERMALOGY)', '네오젠 코드나인 (NEOGEN CODE9)', '네오젠 코드나인 (NEOGEN CODE9)', '네오젠 더마로지 (NEOGEN DERMALOGY)', '네오젠 더마로지 (NEOGEN DERMALOGY)', '네오젠 더마로지 (NEOGEN DERMALOGY)', '네오젠 에이지큐어 (NEOGEN Agecure)', '네오젠 더마로지 (NEOGEN DERMALOGY)', '네오젠 더마로지 (NEOGEN DERMALOGY)', '네오젠 더마로지 (NEOGEN DERMALOGY)', '네오젠 더마로지 (NEOGEN DERMALOGY)', '네오젠 에이지큐어 (NEOGEN Agecure)', '네오젠 코드나인 (NEOGEN CODE9)', '네오젠 더마로지 (NEOGEN DERMALOGY)', '네오젠 더마로지 (NEOGEN DERMALOGY)', '네오젠 더마로지 (NEOGEN DERMALOGY)', '네오젠 코드나인 (NEOGEN CODE9)', '네오젠 코드나인 (NEOGEN CODE9)', '네오젠 더마로지 (NEOGEN DERMALOGY)', '네오젠 코드나인 (NEOGEN CODE9)', '네오젠 더마로지 (NEOGEN DERMALOGY)', '네오젠 더마로지 (NEOGEN DERMALOGY)', '네오젠 더마로지 (NEOGEN DERMALOGY)', '네오젠 더마로지 (NEOGEN DERMALOGY)', '네오젠 더마로지 (NEOGEN DERMALOGY)', '네오젠 코드나인 (NEOGEN CODE9)', '네오젠 코드나인 (NEOGEN CODE9)', '네오젠 더마로지 (NEOGEN DERMALOGY)', '네오젠 코드나인 (NEOGEN CODE9)', '네오젠 코드나인 (NEOGEN CODE9)', '네오젠 더마로지 (NEOGEN DERMALOGY)', '네오젠 더마로지 (NEOGEN DERMALOGY)', '네오젠 더마로지 (NEOGEN DERMALOGY)', '네오젠 더마로지 (NEOGEN DERMALOGY)', '네오젠 더마로지 (NEOGEN DERMALOGY)', '네오젠 더마로지 (NEOGEN DERMALOGY)', '네오젠 더마로지 (NEOGEN DERMALOGY)', '네오젠 더마로지 (NEOGEN DERMALOGY)', '네오젠 더마로지 (NEOGEN DERMALOGY)', '네오젠 더마로지 (NEOGEN DERMALOGY)', '네오젠 더마로지 (NEOGEN DERMALOGY)', '네오젠 더마로지 (NEOGEN DERMALOGY)', '네오젠 더마로지 (NEOGEN DERMALOGY)', '네오젠 더마로지 (NEOGEN DERMALOGY)', '네오젠 더마로지 (NEOGEN DERMALOGY)', '네오젠 코드나인 (NEOGEN CODE9)', '네오젠 코드나인 (NEOGEN CODE9)', '네오젠 코드나인 (NEOGEN CODE9)', '네오젠 더마로지 (NEOGEN DERMALOGY)', '네오젠 코드나인 (NEOGEN CODE9)', '네오젠 코드나인 (NEOGEN CODE9)', '네오젠 더마로지 (NEOGEN DERMALOGY)', '네오젠 더마로지 (NEOGEN DERMALOGY)', '네오젠 더마로지 (NEOGEN DERMALOGY)', '네오젠 더마로지 (NEOGEN DERMALOGY)', '네오젠 더마로지 (NEOGEN DERMALOGY)', '네오젠 코드나인 (NEOGEN CODE9)', '네오젠 코드나인 (NEOGEN CODE9)', '네오젠 더마로지 (NEOGEN DERMALOGY)', '네오젠 코드나인 (NEOGEN CODE9)', '네오젠 더마로지 (NEOGEN DERMALOGY)', '네오젠 코드나인 (NEOGEN CODE9)', '네오젠 더마로지 (NEOGEN DERMALOGY)']"
1290,"[' 울트라 모이스처 마스크', ' 리파베논 앰플', ' 아크 엑스 앰플', ' 아줄렌 앰플']","['누벨덤 (Nouvelle Derm)', '누벨덤 (Nouvelle Derm)', '누벨덤 (Nouvelle Derm)', '누벨덤 (Nouvelle Derm)']"
1291,"[' 시크릿 티 팩트 [SPF50+/PA++++]', ' 비타메디 데일리 썬로션 [SPF50+/PA+++]', ' 썬블럭 [SPF50+/PA+++]', ' 골든 리프팅 앰플', ' 링클 커버 앰플']","['톡스앤필 (TOX n FILL)', '톡스앤필 (TOX n FILL)', '톡스앤필 (TOX n FILL)', '톡스앤필 (TOX n FILL)', '톡스앤필 (TOX n FILL)']"
1292,"[' AC 매끈매끈 진정 극세사 시트 마스크', ' AC 뽀송뽀송 피지조절 극세사 시트 마스크', ' 촉촉 레서피 모이스처 로션', ' 선크림 [SPF50/PA+++]', ' 촉촉 레서피 수딩 토너', ' 수분 퐁당 크림', ' 톡톡 헤어파우더', ' AC 컨트롤 클리어링 토너', ' AC 컨트롤 모이스춰 로션', ' Real Very 수분 크림', ' 까멜리아 버블 멀티 클렌징 밤', ' 그린티 엔자임 클렌저', ' AC 컨트롤 클렌징 폼', ' 보이프랜드 액티브 모이스춰라이저', ' 예쁜손 크림', ' 보이프랜드 액티브 클리어링 토너', ' 바디촉촉 버터밀크로션', ' 리프레쉬 미스트', ' 포어리스 키트', ' 생기 발랄 미스트', ' 베이비 페이스 톤업 스킨 [SPF25/PA++]', ' 촉촉시원 미스트', ' 멀티 브라이트닝 토너', ' 멀티 브라이트닝 로션', ' 멀티 브라이트닝 에센스', ' AC클리어샷 Day & Night', ' 보송보송 레서피 후레쉬 토너', ' 보송보송 레서피 모이스춰 로션', ' 락토바이오닉 멀티 엔자임 앰플 시트 마스크', ' 락토바이오닉\xa0멀티엔자임\xa0앰플', ' 리바이빙 앰플', ' 하이드레이팅 앰플', ' 밸런싱 앰플', ' 그린티 엔자임 클렌징 파우더', ' 보이프랜드 데일리 후레쉬 로션 [SPF30/PA++]', '[단종]\xa0 AC 컨트롤 레서피 모이스춰 로션', '[단종]\xa0 수분 퐁당 칵테일 크림', '[단종]\xa0 촉촉 레서피 수딩 토너', '[단종]\xa0 AC 컨트롤 레서피 클리어링 토너', '[단종]\xa0 아크네 엑스퍼트 버블 클렌저', '[단종]\xa0 멀티 토탈 클렌징 폼', '[단종]\xa0 촉촉 레서피 훼이셜 폼 클렌저', '[단종]\xa0 베이비 페이스 톤업 모이스춰라이저 [SPF25/PA++]', '[단종]\xa0 보송보송 레서피 후레쉬 폼 클렌저', '[단종]\xa0 보이프랜드 액티브 블랙헤드 클렌저', '[단종]\xa0 멀티 브라이트닝 클렌저', '[단종]\xa0 뽀샵 비비크림 [SPF30/PA+++]', '[단종]\xa0 AC 컨트롤 레서피 클리어링 토너', '[단종]\xa0 피지 컨트롤 파우더 크림', '[단종]\xa0 AC 컨트롤 레서피 모이스춰 로션', '[단종]\xa0 선크림 [SPF45/PA++]', '[단종]\xa0 후레쉬 수딩 썬 젤 [SPF30/PA++]', '[단종]\xa0 아크네 훼이셜 폼 클렌저', '[단종]\xa0 블랙헤드 클렌저', '[단종]\xa0 감쪽같은 비비크림 [SPF30/PA++]', '[단종]\xa0 선밤 [SPF50/PA+++]', '[단종]\xa0 보이프랜드 액티브 폼 클렌저']","['티엔 (tn)', '티엔 (tn)', '티엔 (tn)', '티엔 (tn)', '티엔 (tn)', '티엔 (tn)', '티엔 (tn)', '티엔 (tn)', '티엔 (tn)', '티엔 (tn)', '비티엔코스 (BTNCOS)', '포지티브 호텔 (POSITIVE HOTEL)', '티엔 (tn)', '티엔 (tn)', '티엔 (tn)', '티엔 (tn)', '티엔 (tn)', '티엔 (tn)', '티엔 (tn)', '티엔 (tn)', '티엔 (tn)', '티엔 (tn)', '티엔 (tn)', '티엔 (tn)', '티엔 (tn)', '티엔 (tn)', '티엔 (tn)', '티엔 (tn)', '비아르랩 (BR:LAB)', '비아르랩 (BR:LAB)', '르티엔 (le tien)', '르티엔 (le tien)', '르티엔 (le tien)', '수네이처 (SOONATURE)', '티엔 (tn)', '티엔 (tn)', '티엔 (tn)', '티엔 (tn)', '티엔 (tn)', '티엔 (tn)', '티엔 (tn)', '티엔 (tn)', '티엔 (tn)', '티엔 (tn)', '티엔 (tn)', '티엔 (tn)', '티엔 (tn)', '티엔 (tn)', '티엔 (tn)', '티엔 (tn)', '티엔 (tn)', '티엔 (tn)', '티엔 (tn)', '티엔 (tn)', '티엔 (tn)', '티엔 (tn)', '티엔 (tn)']"
